ID	NameSurname	Age	WidespreadName
161	Voter161	25	1
162	Voter162	23	1
163	Voter163	78	1
164	Voter164	53	1
165	Voter165	42	0
166	Voter166	26	0
167	Voter167	34	0
168	Voter168	68	0
169	Voter169	86	0
170	Voter170	25	0
171	Voter171	31	0
172	Voter172	77	1
173	Voter173	22	0
174	Voter174	21	0
175	Voter175	47	0
176	Voter176	41	1
177	Voter177	36	0
178	Voter178	19	1
179	Voter179	26	0
180	Voter180	42	0
181	Voter181	31	0
182	Voter182	40	1
183	Voter183	49	0
184	Voter184	66	0
185	Voter185	74	0
186	Voter186	21	1
187	Voter187	66	0
188	Voter188	42	0
189	Voter189	53	0
190	Voter190	43	0
191	Voter191	73	0
192	Voter192	33	0
193	Voter193	39	0
194	Voter194	61	0
195	Voter195	50	0
196	Voter196	23	0
197	Voter197	67	0
198	Voter198	47	0
199	Voter199	27	0
200	Voter200	39	0
201	Voter201	50	0
202	Voter202	44	1
203	Voter203	19	0
204	Voter204	18	0
205	Voter205	64	0
206	Voter206	51	1
207	Voter207	58	0
208	Voter208	28	0
209	Voter209	46	0
210	Voter210	20	0
211	Voter211	38	0
212	Voter212	70	0
213	Voter213	45	0
214	Voter214	49	0
215	Voter215	32	0
216	Voter216	49	0
217	Voter217	39	0
218	Voter218	30	0
219	Voter219	83	0
220	Voter220	51	0
221	Voter221	79	0
222	Voter222	26	0
223	Voter223	59	0
224	Voter224	62	0
225	Voter225	59	0
226	Voter226	35	0
227	Voter227	53	0
228	Voter228	82	0
229	Voter229	61	0
230	Voter230	61	0
231	Voter231	24	1
232	Voter232	52	0
233	Voter233	58	0
234	Voter234	79	0
235	Voter235	49	0
236	Voter236	39	0
237	Voter237	57	0
238	Voter238	58	0
239	Voter239	29	0
240	Voter240	63	0
241	Voter241	54	0
242	Voter242	19	0
243	Voter243	41	0
244	Voter244	22	0
245	Voter245	75	0
246	Voter246	44	1
247	Voter247	37	0
248	Voter248	45	0
249	Voter249	49	0
250	Voter250	24	1
251	Voter251	21	0
252	Voter252	71	0
253	Voter253	85	0
254	Voter254	39	0
255	Voter255	27	0
256	Voter256	50	0
257	Voter257	45	0
258	Voter258	23	0
259	Voter259	18	0
260	Voter260	22	1
261	Voter261	83	0
262	Voter262	20	1
263	Voter263	47	0
264	Voter264	28	0
265	Voter265	33	0
266	Voter266	46	0
267	Voter267	88	0
268	Voter268	58	0
269	Voter269	47	0
270	Voter270	42	0
271	Voter271	30	0
272	Voter272	60	0
273	Voter273	48	0
274	Voter274	52	0
275	Voter275	42	0
276	Voter276	43	0
277	Voter277	41	0
278	Voter278	84	0
279	Voter279	41	0
280	Voter280	20	1
281	Voter281	35	0
282	Voter282	22	0
283	Voter283	54	0
284	Voter284	42	0
285	Voter285	26	0
286	Voter286	62	0
287	Voter287	31	1
288	Voter288	47	0
289	Voter289	39	1
290	Voter290	81	0
291	Voter291	39	0
292	Voter292	32	0
293	Voter293	49	1
294	Voter294	31	1
295	Voter295	28	0
296	Voter296	54	0
297	Voter297	27	0
298	Voter298	55	0
299	Voter299	76	0
300	Voter300	78	0
301	Voter301	52	0
302	Voter302	44	0
303	Voter303	30	0
304	Voter304	41	0
305	Voter305	78	0
306	Voter306	75	0
307	Voter307	59	0
308	Voter308	78	0
309	Voter309	25	0
310	Voter310	88	1
311	Voter311	23	0
312	Voter312	59	0
313	Voter313	18	0
314	Voter314	62	0
315	Voter315	66	0
316	Voter316	79	0
317	Voter317	56	0
318	Voter318	56	0
319	Voter319	47	0
320	Voter320	49	0
321	Voter321	27	0
322	Voter322	21	1
323	Voter323	56	0
324	Voter324	28	0
325	Voter325	82	1
326	Voter326	77	0
327	Voter327	39	0
328	Voter328	63	0
329	Voter329	66	0
330	Voter330	27	0
331	Voter331	45	0
332	Voter332	54	0
333	Voter333	19	0
334	Voter334	21	0
335	Voter335	59	0
336	Voter336	22	0
337	Voter337	50	0
338	Voter338	27	0
339	Voter339	33	0
340	Voter340	19	0
341	Voter341	22	0
342	Voter342	51	0
343	Voter343	26	0
344	Voter344	57	0
345	Voter345	21	0
346	Voter346	22	1
347	Voter347	72	0
348	Voter348	50	0
349	Voter349	73	0
350	Voter350	48	0
351	Voter351	42	0
352	Voter352	50	0
353	Voter353	39	0
354	Voter354	19	0
355	Voter355	19	0
356	Voter356	19	1
357	Voter357	55	0
358	Voter358	35	1
359	Voter359	34	0
360	Voter360	32	0
361	Voter361	56	0
362	Voter362	49	0
363	Voter363	37	0
364	Voter364	65	0
365	Voter365	27	0
366	Voter366	56	0
367	Voter367	63	0
368	Voter368	63	0
369	Voter369	75	0
370	Voter370	63	0
371	Voter371	43	0
372	Voter372	46	0
373	Voter373	64	0
374	Voter374	56	0
375	Voter375	42	0
376	Voter376	25	1
377	Voter377	68	0
378	Voter378	23	0
379	Voter379	87	1
380	Voter380	60	0
381	Voter381	29	0
382	Voter382	32	1
383	Voter383	72	0
384	Voter384	59	0
385	Voter385	49	0
386	Voter386	42	0
387	Voter387	72	0
388	Voter388	48	0
389	Voter389	31	0
390	Voter390	67	0
391	Voter391	56	0
392	Voter392	61	0
393	Voter393	75	0
394	Voter394	21	0
395	Voter395	35	0
396	Voter396	52	0
397	Voter397	19	1
398	Voter398	25	0
399	Voter399	33	0
400	Voter400	49	0
401	Voter401	61	0
402	Voter402	50	0
403	Voter403	42	0
404	Voter404	76	0
405	Voter405	59	0
406	Voter406	46	0
407	Voter407	70	0
408	Voter408	50	0
409	Voter409	23	0
410	Voter410	56	0
411	Voter411	38	0
412	Voter412	42	0
413	Voter413	26	1
414	Voter414	29	1
415	Voter415	32	0
416	Voter416	85	0
417	Voter417	38	0
418	Voter418	51	0
419	Voter419	18	0
420	Voter420	39	0
421	Voter421	33	0
422	Voter422	38	0
423	Voter423	23	0
424	Voter424	59	0
425	Voter425	70	0
426	Voter426	76	0
427	Voter427	42	0
428	Voter428	55	0
429	Voter429	66	1
430	Voter430	45	0
431	Voter431	52	0
432	Voter432	48	0
433	Voter433	54	0
434	Voter434	21	0
435	Voter435	20	0
436	Voter436	28	0
437	Voter437	32	0
438	Voter438	23	0
439	Voter439	51	0
440	Voter440	70	0
441	Voter441	51	1
442	Voter442	39	0
443	Voter443	74	0
444	Voter444	60	0
445	Voter445	39	0
446	Voter446	38	0
447	Voter447	34	0
448	Voter448	35	0
449	Voter449	55	0
450	Voter450	35	0
451	Voter451	50	0
452	Voter452	59	0
453	Voter453	44	0
454	Voter454	66	0
455	Voter455	76	0
456	Voter456	48	0
457	Voter457	65	0
458	Voter458	24	0
459	Voter459	62	1
460	Voter460	63	0
461	Voter461	30	0
462	Voter462	37	0
463	Voter463	29	0
464	Voter464	30	0
465	Voter465	49	1
466	Voter466	75	0
467	Voter467	22	0
468	Voter468	20	0
469	Voter469	19	0
470	Voter470	43	0
471	Voter471	55	0
472	Voter472	29	0
473	Voter473	25	0
474	Voter474	24	0
475	Voter475	50	0
476	Voter476	43	0
477	Voter477	26	0
478	Voter478	47	0
479	Voter479	77	0
480	Voter480	45	1
481	Voter481	48	0
482	Voter482	70	0
483	Voter483	54	0
484	Voter484	46	0
485	Voter485	50	1
486	Voter486	36	0
487	Voter487	66	0
488	Voter488	64	0
489	Voter489	25	0
490	Voter490	47	0
491	Voter491	53	0
492	Voter492	57	0
493	Voter493	56	0
494	Voter494	38	0
495	Voter495	47	0
496	Voter496	47	0
497	Voter497	33	0
498	Voter498	51	0
499	Voter499	56	0
500	Voter500	56	0
501	Voter501	49	0
502	Voter502	50	0
503	Voter503	37	0
504	Voter504	50	0
505	Voter505	54	0
506	Voter506	24	0
507	Voter507	24	0
508	Voter508	46	0
509	Voter509	51	0
510	Voter510	74	0
511	Voter511	52	1
512	Voter512	42	0
513	Voter513	47	0
514	Voter514	43	0
515	Voter515	20	0
516	Voter516	29	0
517	Voter517	38	0
518	Voter518	48	1
519	Voter519	21	0
520	Voter520	25	1
521	Voter521	64	0
522	Voter522	25	0
523	Voter523	80	0
524	Voter524	67	0
525	Voter525	50	0
526	Voter526	46	0
527	Voter527	37	0
528	Voter528	49	0
529	Voter529	31	0
530	Voter530	75	0
531	Voter531	43	0
532	Voter532	53	0
533	Voter533	55	1
534	Voter534	63	0
535	Voter535	60	1
536	Voter536	37	0
537	Voter537	73	0
538	Voter538	26	0
539	Voter539	48	1
540	Voter540	23	0
541	Voter541	39	0
542	Voter542	57	0
543	Voter543	51	0
544	Voter544	43	0
545	Voter545	35	0
546	Voter546	73	0
547	Voter547	42	0
548	Voter548	47	0
549	Voter549	51	0
550	Voter550	20	0
551	Voter551	28	0
552	Voter552	65	0
553	Voter553	32	0
554	Voter554	29	0
555	Voter555	32	0
556	Voter556	49	0
557	Voter557	42	0
558	Voter558	57	0
559	Voter559	65	0
560	Voter560	21	0
561	Voter561	26	0
562	Voter562	36	0
563	Voter563	30	0
564	Voter564	55	0
565	Voter565	74	0
566	Voter566	37	0
567	Voter567	79	0
568	Voter568	20	0
569	Voter569	36	0
570	Voter570	32	0
571	Voter571	48	0
572	Voter572	84	0
573	Voter573	74	0
574	Voter574	51	0
575	Voter575	56	0
576	Voter576	55	0
577	Voter577	19	1
578	Voter578	19	1
579	Voter579	21	0
580	Voter580	42	0
581	Voter581	62	0
582	Voter582	33	0
583	Voter583	37	0
584	Voter584	74	0
585	Voter585	48	0
586	Voter586	26	0
587	Voter587	62	0
588	Voter588	69	0
589	Voter589	25	1
590	Voter590	28	0
591	Voter591	18	1
592	Voter592	49	0
593	Voter593	42	0
594	Voter594	74	0
595	Voter595	61	0
596	Voter596	45	0
597	Voter597	31	0
598	Voter598	72	0
599	Voter599	35	0
600	Voter600	54	0
601	Voter601	78	0
602	Voter602	61	0
603	Voter603	71	0
604	Voter604	29	0
605	Voter605	18	0
606	Voter606	75	0
607	Voter607	21	1
608	Voter608	84	0
609	Voter609	45	0
610	Voter610	61	0
611	Voter611	21	0
612	Voter612	24	0
613	Voter613	58	0
614	Voter614	19	0
615	Voter615	29	0
616	Voter616	24	0
617	Voter617	37	0
618	Voter618	89	0
619	Voter619	47	0
620	Voter620	29	0
621	Voter621	80	0
622	Voter622	19	0
623	Voter623	18	0
624	Voter624	55	0
625	Voter625	65	0
626	Voter626	20	0
627	Voter627	61	0
628	Voter628	34	0
629	Voter629	70	0
630	Voter630	55	0
631	Voter631	30	1
632	Voter632	76	0
633	Voter633	73	1
634	Voter634	37	0
635	Voter635	60	0
636	Voter636	49	0
637	Voter637	44	0
638	Voter638	49	0
639	Voter639	79	0
640	Voter640	59	0
641	Voter641	51	0
642	Voter642	36	0
643	Voter643	35	0
644	Voter644	55	0
645	Voter645	40	0
646	Voter646	25	1
647	Voter647	78	0
648	Voter648	76	0
649	Voter649	24	0
650	Voter650	57	0
651	Voter651	41	0
652	Voter652	53	0
653	Voter653	85	0
654	Voter654	19	0
655	Voter655	79	0
656	Voter656	76	0
657	Voter657	57	0
658	Voter658	35	0
659	Voter659	76	0
660	Voter660	39	0
661	Voter661	66	0
662	Voter662	55	0
663	Voter663	56	0
664	Voter664	77	0
665	Voter665	34	0
666	Voter666	35	0
667	Voter667	28	0
668	Voter668	21	0
669	Voter669	59	0
670	Voter670	59	0
671	Voter671	61	0
672	Voter672	18	1
673	Voter673	20	0
674	Voter674	20	0
675	Voter675	59	0
676	Voter676	58	0
677	Voter677	77	0
678	Voter678	77	0
679	Voter679	56	0
680	Voter680	48	0
681	Voter681	71	0
682	Voter682	23	0
683	Voter683	20	0
684	Voter684	53	0
685	Voter685	82	0
686	Voter686	39	0
687	Voter687	47	0
688	Voter688	27	1
689	Voter689	59	0
690	Voter690	24	0
691	Voter691	62	0
692	Voter692	24	0
693	Voter693	59	0
694	Voter694	20	0
695	Voter695	31	0
696	Voter696	75	1
697	Voter697	66	0
698	Voter698	43	0
699	Voter699	35	0
700	Voter700	20	0
701	Voter701	43	0
702	Voter702	62	0
703	Voter703	74	0
704	Voter704	48	0
705	Voter705	32	0
706	Voter706	26	0
707	Voter707	82	0
708	Voter708	57	1
709	Voter709	74	0
710	Voter710	38	0
711	Voter711	40	1
712	Voter712	30	0
713	Voter713	45	0
714	Voter714	48	0
715	Voter715	51	0
716	Voter716	31	0
717	Voter717	57	0
718	Voter718	74	0
719	Voter719	29	0
720	Voter720	72	0
721	Voter721	37	0
722	Voter722	41	0
723	Voter723	81	0
724	Voter724	26	1
725	Voter725	74	0
726	Voter726	22	0
727	Voter727	74	0
728	Voter728	35	1
729	Voter729	35	0
730	Voter730	23	0
731	Voter731	41	0
732	Voter732	70	0
733	Voter733	56	0
734	Voter734	87	0
735	Voter735	68	0
736	Voter736	45	0
737	Voter737	83	0
738	Voter738	19	0
739	Voter739	43	0
740	Voter740	66	0
741	Voter741	59	0
742	Voter742	29	0
743	Voter743	81	0
744	Voter744	27	1
745	Voter745	61	0
746	Voter746	81	0
747	Voter747	38	0
748	Voter748	27	0
749	Voter749	61	0
750	Voter750	31	1
751	Voter751	55	0
752	Voter752	36	0
753	Voter753	21	0
754	Voter754	63	0
755	Voter755	18	0
756	Voter756	75	0
757	Voter757	74	0
758	Voter758	20	1
759	Voter759	79	1
760	Voter760	33	0
761	Voter761	42	0
762	Voter762	52	0
763	Voter763	26	1
764	Voter764	48	0
765	Voter765	43	0
766	Voter766	21	0
767	Voter767	20	0
768	Voter768	47	0
769	Voter769	50	0
770	Voter770	66	0
771	Voter771	24	0
772	Voter772	51	0
773	Voter773	38	0
774	Voter774	75	1
775	Voter775	31	0
776	Voter776	24	0
777	Voter777	40	0
778	Voter778	90	0
779	Voter779	32	0
780	Voter780	48	0
781	Voter781	74	1
782	Voter782	64	0
783	Voter783	56	0
784	Voter784	48	1
785	Voter785	82	0
786	Voter786	30	0
787	Voter787	33	0
788	Voter788	38	0
789	Voter789	46	0
790	Voter790	78	0
791	Voter791	37	0
792	Voter792	20	0
793	Voter793	27	0
794	Voter794	40	0
795	Voter795	56	0
796	Voter796	59	0
797	Voter797	49	0
798	Voter798	37	0
799	Voter799	24	0
800	Voter800	29	1
801	Voter801	70	0
802	Voter802	34	0
803	Voter803	49	0
804	Voter804	40	0
805	Voter805	73	0
806	Voter806	30	0
807	Voter807	76	0
808	Voter808	49	0
809	Voter809	53	0
810	Voter810	76	0
811	Voter811	61	0
812	Voter812	55	0
813	Voter813	58	0
814	Voter814	49	0
815	Voter815	64	0
816	Voter816	60	0
817	Voter817	37	0
818	Voter818	42	0
819	Voter819	62	0
820	Voter820	22	1
821	Voter821	63	0
822	Voter822	57	1
823	Voter823	47	0
824	Voter824	71	0
825	Voter825	80	0
826	Voter826	58	0
827	Voter827	74	0
828	Voter828	34	0
829	Voter829	63	0
830	Voter830	61	0
831	Voter831	22	0
832	Voter832	53	0
833	Voter833	20	0
834	Voter834	47	1
835	Voter835	88	1
836	Voter836	22	0
837	Voter837	33	0
838	Voter838	66	1
839	Voter839	42	0
840	Voter840	45	1
841	Voter841	34	1
842	Voter842	51	0
843	Voter843	19	0
844	Voter844	72	0
845	Voter845	41	0
846	Voter846	59	0
847	Voter847	19	0
848	Voter848	59	0
849	Voter849	44	0
850	Voter850	56	0
851	Voter851	34	0
852	Voter852	18	0
853	Voter853	61	0
854	Voter854	38	1
855	Voter855	44	0
856	Voter856	69	0
857	Voter857	64	0
858	Voter858	59	0
859	Voter859	24	1
860	Voter860	23	0
861	Voter861	58	0
862	Voter862	25	0
863	Voter863	51	0
864	Voter864	50	0
865	Voter865	48	0
866	Voter866	20	0
867	Voter867	44	0
868	Voter868	31	0
869	Voter869	46	0
870	Voter870	43	0
871	Voter871	18	1
872	Voter872	44	0
873	Voter873	37	0
874	Voter874	74	0
875	Voter875	29	0
876	Voter876	80	0
877	Voter877	47	1
878	Voter878	69	0
879	Voter879	72	0
880	Voter880	50	0
881	Voter881	47	0
882	Voter882	19	1
883	Voter883	36	0
884	Voter884	62	0
885	Voter885	38	0
886	Voter886	60	0
887	Voter887	78	0
888	Voter888	23	0
889	Voter889	42	0
890	Voter890	20	0
891	Voter891	33	0
892	Voter892	35	0
893	Voter893	76	0
894	Voter894	50	1
895	Voter895	39	0
896	Voter896	44	0
897	Voter897	22	0
898	Voter898	27	0
899	Voter899	52	0
900	Voter900	38	0
901	Voter901	36	0
902	Voter902	56	0
903	Voter903	49	0
904	Voter904	30	0
905	Voter905	62	0
906	Voter906	29	0
907	Voter907	18	1
908	Voter908	77	0
909	Voter909	23	0
910	Voter910	62	0
911	Voter911	42	0
912	Voter912	37	1
913	Voter913	43	0
914	Voter914	53	0
915	Voter915	33	1
916	Voter916	28	0
917	Voter917	61	0
918	Voter918	47	0
919	Voter919	36	1
920	Voter920	64	0
921	Voter921	72	0
922	Voter922	29	0
923	Voter923	68	1
924	Voter924	37	1
925	Voter925	26	0
926	Voter926	76	0
927	Voter927	50	1
928	Voter928	62	0
929	Voter929	76	0
930	Voter930	26	0
931	Voter931	28	0
932	Voter932	74	0
933	Voter933	94	0
934	Voter934	39	0
935	Voter935	59	1
936	Voter936	60	0
937	Voter937	71	0
938	Voter938	39	0
939	Voter939	51	0
940	Voter940	24	0
941	Voter941	43	0
942	Voter942	47	0
943	Voter943	56	0
944	Voter944	29	0
945	Voter945	39	0
946	Voter946	29	0
947	Voter947	84	1
948	Voter948	31	0
949	Voter949	51	0
950	Voter950	82	0
951	Voter951	26	0
952	Voter952	33	0
953	Voter953	19	0
954	Voter954	50	0
955	Voter955	74	0
956	Voter956	28	0
957	Voter957	72	0
958	Voter958	34	1
959	Voter959	56	0
960	Voter960	33	0
961	Voter961	48	0
962	Voter962	22	0
963	Voter963	20	1
964	Voter964	33	0
965	Voter965	22	0
966	Voter966	61	0
967	Voter967	49	0
968	Voter968	37	0
969	Voter969	45	0
970	Voter970	48	0
971	Voter971	72	0
972	Voter972	55	1
973	Voter973	71	0
974	Voter974	24	0
975	Voter975	39	1
976	Voter976	29	0
977	Voter977	57	0
978	Voter978	21	0
979	Voter979	46	0
980	Voter980	69	0
981	Voter981	71	0
982	Voter982	56	0
983	Voter983	27	1
984	Voter984	75	0
985	Voter985	42	0
986	Voter986	60	0
987	Voter987	28	0
988	Voter988	20	1
989	Voter989	39	1
990	Voter990	29	0
991	Voter991	43	0
992	Voter992	26	0
993	Voter993	53	0
994	Voter994	53	1
995	Voter995	70	0
996	Voter996	77	0
997	Voter997	50	0
998	Voter998	58	0
999	Voter999	51	0
1000	Voter1000	37	0
1001	Voter1001	50	0
1002	Voter1002	55	0
1003	Voter1003	52	0
1004	Voter1004	37	0
1005	Voter1005	39	0
1006	Voter1006	66	0
1007	Voter1007	27	0
1008	Voter1008	21	0
1009	Voter1009	31	0
1010	Voter1010	26	1
1011	Voter1011	34	0
1012	Voter1012	36	0
1013	Voter1013	20	0
1014	Voter1014	38	0
1015	Voter1015	22	0
1016	Voter1016	63	0
1017	Voter1017	19	0
1018	Voter1018	53	0
1019	Voter1019	22	0
1020	Voter1020	18	0
1021	Voter1021	37	0
1022	Voter1022	62	0
1023	Voter1023	39	0
1024	Voter1024	23	1
1025	Voter1025	44	0
1026	Voter1026	34	0
1027	Voter1027	26	0
1028	Voter1028	72	0
1029	Voter1029	44	0
1030	Voter1030	46	0
1031	Voter1031	61	0
1032	Voter1032	52	0
1033	Voter1033	39	0
1034	Voter1034	37	0
1035	Voter1035	33	0
1036	Voter1036	29	0
1037	Voter1037	64	0
1038	Voter1038	24	0
1039	Voter1039	74	1
1040	Voter1040	20	0
1041	Voter1041	76	0
1042	Voter1042	28	0
1043	Voter1043	77	0
1044	Voter1044	73	0
1045	Voter1045	33	0
1046	Voter1046	41	0
1047	Voter1047	25	0
1048	Voter1048	76	0
1049	Voter1049	64	0
1050	Voter1050	51	0
1051	Voter1051	72	0
1052	Voter1052	24	0
1053	Voter1053	56	1
1054	Voter1054	40	0
1055	Voter1055	48	1
1056	Voter1056	52	0
1057	Voter1057	21	0
1058	Voter1058	26	0
1059	Voter1059	62	0
1060	Voter1060	40	0
1061	Voter1061	52	0
1062	Voter1062	28	0
1063	Voter1063	61	0
1064	Voter1064	39	1
1065	Voter1065	29	0
1066	Voter1066	26	0
1067	Voter1067	26	0
1068	Voter1068	79	0
1069	Voter1069	61	0
1070	Voter1070	59	0
1071	Voter1071	42	0
1072	Voter1072	34	0
1073	Voter1073	38	0
1074	Voter1074	87	0
1075	Voter1075	65	0
1076	Voter1076	62	0
1077	Voter1077	74	0
1078	Voter1078	31	0
1079	Voter1079	44	0
1080	Voter1080	45	1
1081	Voter1081	40	0
1082	Voter1082	47	0
1083	Voter1083	75	0
1084	Voter1084	73	0
1085	Voter1085	56	0
1086	Voter1086	27	0
1087	Voter1087	49	0
1088	Voter1088	31	1
1089	Voter1089	60	0
1090	Voter1090	73	0
1091	Voter1091	68	1
1092	Voter1092	42	0
1093	Voter1093	64	0
1094	Voter1094	82	0
1095	Voter1095	20	0
1096	Voter1096	50	0
1097	Voter1097	50	0
1098	Voter1098	35	0
1099	Voter1099	62	0
1100	Voter1100	36	0
1101	Voter1101	46	0
1102	Voter1102	69	0
1103	Voter1103	35	0
1104	Voter1104	60	0
1105	Voter1105	22	0
1106	Voter1106	40	1
1107	Voter1107	57	0
1108	Voter1108	54	1
1109	Voter1109	67	0
1110	Voter1110	80	0
1111	Voter1111	53	1
1112	Voter1112	59	0
1113	Voter1113	37	0
1114	Voter1114	58	0
1115	Voter1115	73	0
1116	Voter1116	20	0
1117	Voter1117	20	0
1118	Voter1118	74	0
1119	Voter1119	59	0
1120	Voter1120	38	0
1121	Voter1121	26	0
1122	Voter1122	77	0
1123	Voter1123	79	0
1124	Voter1124	29	0
1125	Voter1125	33	0
1126	Voter1126	34	0
1127	Voter1127	74	0
1128	Voter1128	42	1
1129	Voter1129	39	0
1130	Voter1130	47	0
1131	Voter1131	63	0
1132	Voter1132	35	0
1133	Voter1133	65	0
1134	Voter1134	58	0
1135	Voter1135	65	0
1136	Voter1136	31	1
1137	Voter1137	82	0
1138	Voter1138	31	0
1139	Voter1139	25	0
1140	Voter1140	42	1
1141	Voter1141	24	1
1142	Voter1142	44	0
1143	Voter1143	29	0
1144	Voter1144	43	1
1145	Voter1145	22	0
1146	Voter1146	74	0
1147	Voter1147	66	0
1148	Voter1148	44	0
1149	Voter1149	23	0
1150	Voter1150	33	0
1151	Voter1151	40	0
1152	Voter1152	32	1
1153	Voter1153	23	0
1154	Voter1154	65	0
1155	Voter1155	50	0
1156	Voter1156	89	0
1157	Voter1157	32	0
1158	Voter1158	40	0
1159	Voter1159	61	0
1160	Voter1160	27	1
1161	Voter1161	55	0
1162	Voter1162	27	0
1163	Voter1163	42	0
1164	Voter1164	47	0
1165	Voter1165	75	0
1166	Voter1166	25	1
1167	Voter1167	47	0
1168	Voter1168	58	0
1169	Voter1169	46	0
1170	Voter1170	19	1
1171	Voter1171	56	0
1172	Voter1172	39	0
1173	Voter1173	30	0
1174	Voter1174	39	0
1175	Voter1175	33	0
1176	Voter1176	31	0
1177	Voter1177	75	0
1178	Voter1178	56	0
1179	Voter1179	85	0
1180	Voter1180	44	0
1181	Voter1181	30	1
1182	Voter1182	67	0
1183	Voter1183	54	1
1184	Voter1184	27	0
1185	Voter1185	61	0
1186	Voter1186	23	0
1187	Voter1187	54	0
1188	Voter1188	48	1
1189	Voter1189	43	0
1190	Voter1190	72	0
1191	Voter1191	21	0
1192	Voter1192	37	0
1193	Voter1193	46	0
1194	Voter1194	20	0
1195	Voter1195	33	1
1196	Voter1196	92	1
1197	Voter1197	64	0
1198	Voter1198	25	0
1199	Voter1199	54	0
1200	Voter1200	58	1
1201	Voter1201	51	1
1202	Voter1202	20	0
1203	Voter1203	33	0
1204	Voter1204	24	1
1205	Voter1205	33	0
1206	Voter1206	36	0
1207	Voter1207	68	0
1208	Voter1208	64	0
1209	Voter1209	24	0
1210	Voter1210	31	0
1211	Voter1211	38	0
1212	Voter1212	78	0
1213	Voter1213	84	0
1214	Voter1214	45	0
1215	Voter1215	74	0
1216	Voter1216	27	1
1217	Voter1217	32	1
1218	Voter1218	40	0
1219	Voter1219	20	1
1220	Voter1220	29	0
1221	Voter1221	83	0
1222	Voter1222	46	0
1223	Voter1223	44	0
1224	Voter1224	26	1
1225	Voter1225	36	0
1226	Voter1226	47	0
1227	Voter1227	79	0
